1 2.31066608279
2 4.39950440299
3 6.03024038745
4 7.1986812226
5 8.11819166167
6 8.94764056162
7 9.73301231306
8 10.4594517021
9 11.1593600885
10 11.883960997
11 12.6075943134
12 13.3370482415
13 14.0340853571
14 14.6893607916
15 15.3537846156
16 16.027230545
17 16.7073497019
18 17.4099440418
19 18.1328991577
20 18.8596652115
21 19.6068056323
22 20.3659908313
23 21.1275535194
24 21.8918500633
25 22.6509493369
26 23.3910835976
27 24.1386038911
28 24.8917204596
29 25.6446156698
30 26.3973934155
31 27.1393708282
32 27.8953726434
33 28.6285354804
34 29.3594444282
35 30.0938056822
36 30.8187663549
37 31.5516090939
38 32.2972496833
39 33.0161630483
40 33.7090783704
41 34.4041512719
42 35.1403078288
43 35.8659660432
44 36.6090809179
45 37.3487862541
46 38.1000246998
47 38.8531951172
48 39.592953275
49 40.3212918288
50 41.0605943107
